Symbol,Returns,Volatility
3MINDIA.NS,-0.0003835664426463816,0.018428140924288038
ABB.NS,-0.001034932283522679,0.021694861816076102
ACC.NS,-0.001074365356846423,0.024638428074704455
AIAENG.NS,0.0025155970398745247,0.02286948074090157
APLAPOLLO.NS,-0.0005517521257944408,0.01661548181385466
AUBANK.NS,0.00036667433656572,0.023264138773795275
AARTIDRUGS.NS,0.001103083351352252,0.02325541420316541
AAVAS.NS,-0.0017153462825769763,0.014921909174647408
ABBOTINDIA.NS,7.23768813227273e-05,0.019003179299296725
ADANIENT.NS,0.0030817987496944317,0.024351818174125964
ADANIGREEN.NS,0.0027155531148755356,0.03458144727812282
ADANIPORTS.NS,9.764704887414165e-05,0.022477729514091358
ATGL.NS,0.002663920559431248,0.02933236902610691
ADANITRANS.NS,-0.001298987692354787,0.023322400727173686
ABCAPITAL.NS,0.0013393877638913708,0.03380367270283703
ABFRL.NS,0.0004941615734281229,0.02876024563285291
ABSLAMC.NS,0.0014162476840736467,0.019270950327101393
ADVENZYMES.NS,-0.00044736219874243297,0.016572338592694066
AEGISCHEM.NS,-0.0007734542578356271,0.014763981250395205
AFFLE.NS,-0.001053740790512414,0.021774769687691105
AJANTPHARM.NS,0.0018686039229467743,0.033486252718643715
APLLTD.NS,-0.001300906604498757,0.03337640209852912
ALKEM.NS,-0.0014540647529577523,0.01767546093762119
ALKYLAMINE.NS,-0.0014711474196660063,0.030919770809729383
ALLCARGO.NS,0.0010523906822600371,0.02193112747769634
ALOKINDS.NS,0.0007317641481115743,0.034693669253659395
AMARAJABAT.NS,-0.0003021498165673995,0.024022431499361965
AMBER.NS,0.0014524795924447953,0.027638557014280345
AMBUJACEM.NS,-0.0012978172508243079,0.015320432870533068
ANGELONE.NS,0.00023974431246096884,0.02342811531735918
ANURAS.NS,0.0007160737080466838,0.022983374231138012
APOLLOHOSP.NS,0.00016239941504943184,0.02901591837597765
APOLLOTYRE.NS,0.002513260217859035,0.034828800479539186
APTUS.NS,0.00035159948036840073,0.02281708448095521
ASAHIINDIA.NS,8.915977234604377e-05,0.01783734765495963
ASHOKLEY.NS,0.001056010575874281,0.02695269124998225
ASIANPAINT.NS,-0.00016501849547586648,0.022395912712177776
ASTERDM.NS,6.448410194418661e-05,0.01880789099349857
ASTRAZEN.NS,0.0035258642835822923,0.031956449334154244
ASTRAL.NS,-0.000599261277755687,0.020316405850920902
ATUL.NS,0.0002203447023610693,0.02408218998979109
AUROPHARMA.NS,-0.0011405698230640944,0.02067527673081125
AVANTIFEED.NS,-0.00034796721582404003,0.021751658609779047
DMART.NS,0.00010768484183248242,0.018531089787901443
AXISBANK.NS,-0.00025306377593169345,0.015560796077426331
BASF.NS,-0.00019965665290534824,0.024349628261383448
BSE.NS,-0.00016954616390223677,0.021969563419745902
BAJAJ-AUTO.NS,0.0015509917152891435,0.02205037493236552
BAJAJELEC.NS,-7.713723444681055e-05,0.021965732579083255
BAJFINANCE.NS,-0.001140376655751358,0.029488918086891896
BAJAJFINSV.NS,-0.0010706091556037195,0.020495198093128473
BAJAJHLDNG.NS,1.8518255059776476e-05,0.030549963982227115
BALAMINES.NS,-0.000555996162561815,0.026302590600619076
BALKRISIND.NS,0.001694557831085641,0.02556900285011413
BALRAMCHIN.NS,-0.0009154287172987448,0.022385687588710415
BANDHANBNK.NS,-0.000709343582073324,0.02182369734931214
BANKBARODA.NS,-0.0005162495975844775,0.019028239578234896
BANKINDIA.NS,-0.0003243690347286464,0.016257416867827962
MAHABANK.NS,-0.0007125508561370854,0.02347136499925666
BATAINDIA.NS,-0.0013500638515333847,0.05241284313588406
BAYERCROP.NS,0.003465858608050433,0.032087311256150004
BERGEPAINT.NS,0.001559448315953588,0.020944866764025297
BDL.NS,-0.0011224357843746527,0.01705126294115753
BEL.NS,-3.730427861565016e-05,0.021534598531458147
BHARATFORG.NS,0.0006039674281353123,0.015877912162150596
BHEL.NS,-0.0004157386531719641,0.02692779005900513
BPCL.NS,-0.0008690188967544699,0.02122262095082894
BHARTIARTL.NS,-0.00159076568439996,0.026232453320104862
BIOCON.NS,0.0014622055563293644,0.018703186797628932
BIRLACORPN.NS,0.0011893880124687214,0.02155708641988762
BSOFT.NS,0.0011483568087889437,0.030987161818905994
BLUEDART.NS,-0.0003614342002950699,0.018743904831161857
BLUESTARCO.NS,-0.0016183962505654432,0.01795055416988331
BBTC.NS,0.00080692023110197,0.027094257539932148
BORORENEW.NS,6.01403338951484e-05,0.014422868076541232
BOSCHLTD.NS,-0.0011858832060639302,0.054150442483818374
BRIGADE.NS,-0.0013147205791839913,0.02761620931413882
BCG.NS,-0.0005239237943601912,0.021013193685218673
BRITANNIA.NS,0.0009057319848020326,0.027504084140597716
MAPMYINDIA.NS,-0.0010113760985609123,0.025699816493150934
CCL.NS,-0.0007678628912724678,0.022771143732246275
CESC.NS,0.00019756316225187659,0.023259467527907036
CGPOWER.NS,-0.0006204348553696212,0.013662910219807473
CRISIL.NS,0.0010311568602512182,0.023647517366621306
CSBBANK.NS,-0.00028456978028065197,0.023551850465494188
CANFINHOME.NS,0.0007013320355035725,0.025897550801240076
CANBK.NS,-0.000561782811988595,0.02217257515004301
CAPLIPOINT.NS,0.0007160775097862628,0.024203017710857234
CGCL.NS,-0.0001879245947126059,0.026187783289296652
CARBORUNIV.NS,-0.00025531177130441046,0.020600063275833764
CASTROLIND.NS,-0.0007520807215535023,0.01807291419746366
CEATLTD.NS,0.0016313955468468411,0.02386441257552378
CENTRALBK.NS,0.003226122082127767,0.025320407312200713
